region_id,region_name,category,lon,lat,pixel_x,pixel_y,mean_R,mean_G,mean_B,mean_H,mean_S_pct,mean_V_pct,Lab_L_mean,std_L,p5_L,p50_L,p95_L,local_contrast,edge_density,dS_vs_bmng_d2,risk_level,diagnosis
B4,Amazon_Mouth,B,-50.0,0.5,2958,2036,71,90,71,115.8,37.3,36.3,36.03,13.72,20.74,30.11,57.2,2.818,0.5062,-5.2,Medium,L*_oor_36
B5,Yellow_River,B,119.2,37.8,6808,1187,101,111,97,101.7,29.7,46.1,45.87,7.24,33.18,45.56,55.3,2.857,0.6381,-7.2,Low,within_range
B6,Mississippi_Delta,B,-89.0,28.9,2070,1390,70,99,108,166.0,41.5,45.3,40.33,9.79,23.09,43.52,52.04,2.238,0.4674,-10.2,Medium,L*_oor_40
C1,Yellow_Sea,C,123.0,35.0,6894,1251,94,130,140,179.8,35.7,56.6,52.26,4.22,43.71,52.16,60.35,1.103,0.194,-16.5,Low,within_range
C2,East_China_Sea,C,126.0,29.0,6963,1388,78,123,148,201.4,46.7,58.0,49.56,2.28,45.97,50.24,51.84,0.714,0.1276,-13.9,Low,within_range
C3,Japan_Sea,C,133.0,40.0,7122,1137,60,95,125,207.7,52.2,49.4,38.99,3.91,33.84,38.69,44.76,1.849,0.2724,-9.1,Medium,L*_oor_39
C4,Mediterranean_W,C,5.0,38.0,4209,1183,84,108,122,163.4,45.7,52.6,44.59,7.65,37.06,41.96,63.18,2.491,0.4197,-6.1,Low,within_range
C5,North_Sea,C,5.0,57.0,4209,750,82,118,137,191.4,40.9,54.4,47.88,8.2,23.83,50.42,52.16,1.328,0.1228,-15.1,Low,within_range
C6,Baltic_Sea,C,20.0,57.0,4551,750,81,111,117,170.1,37.3,48.6,45.02,10.27,23.58,50.76,52.68,2.496,0.3492,-15.2,Low,within_range
C7,Black_Sea,C,34.0,43.0,4869,1069,72,95,104,161.2,43.3,44.9,39.09,6.09,25.69,40.54,46.9,2.795,0.4483,-6.4,Medium,L*_oor_39
D1,Pacific_Deep,D,165.0,15.0,7850,1706,34,52,78,215.6,57.3,30.7,21.38,7.13,16.22,18.6,39.12,3.066,0.3341,-10.8,High,deep_texture_HIGH; deep_edge_MED; L*_oor_21
D2,Indian_Deep,D,75.0,-10.0,5802,2275,33,50,77,216.3,57.6,30.3,20.78,5.51,18.27,18.79,36.4,1.134,0.1458,-10.7,High,deep_texture_HIGH; deep_edge_MED; L*_oor_21
D3,N_Atlantic_Deep,D,-40.0,40.0,3185,1137,41,63,90,212.9,54.6,35.3,26.17,6.61,18.69,25.91,37.07,1.331,0.162,-11.0,High,deep_texture_HIGH; deep_edge_MED
D4,Southern_Ocean,D,0.0,-55.0,4096,3299,57,89,117,208.2,51.3,46.2,36.73,6.21,25.79,37.72,43.96,2.672,0.4412,-10.2,High,deep_texture_HIGH; deep_edge_MED
E1,Sahara_Libya,E,15.0,23.0,4437,1524,197,171,133,35.9,32.5,77.5,71.52,7.55,54.85,73.0,80.8,2.666,0.5735,-0.2,Low,within_range
E2,Arabian_Desert,E,45.0,24.0,5120,1501,191,169,138,35.7,27.7,75.2,70.67,4.12,62.29,71.36,75.64,2.61,0.6844,-0.2,Low,within_range
E3,Australia_Simpson,E,137.0,-24.5,7213,2605,159,118,89,25.6,43.9,62.5,53.24,7.72,42.74,51.39,68.82,2.578,0.6967,-0.1,Medium,L*_oor_53
E4,Gobi_Desert,E,105.0,43.0,6485,1069,157,139,109,38.3,30.5,61.6,58.91,5.88,48.08,59.44,67.81,3.413,0.7945,-0.2,Medium,L*_oor_59
E5,Namib_Desert,E,14.5,-22.0,4425,2548,123,126,119,103.0,38.1,58.7,52.97,8.78,43.35,49.68,72.54,2.901,0.5217,-4.9,Medium,L*_oor_53
F1,Antarctica_Inland,F,0.0,-80.0,4096,3868,223,225,227,211.9,1.6,89.2,89.63,1.29,87.13,89.86,91.32,1.066,0.3585,0.0,High,texture_loss_HIGH; texture_loss_MED
F2,Ross_Ice_Shelf,F,-175.0,-80.0,113,3868,197,205,210,197.5,9.4,82.8,81.81,18.51,42.39,90.21,92.43,1.404,0.0935,-2.3,Medium,L*_oor_82
F3,Greenland_Inland,F,-40.0,72.0,3185,409,230,231,233,212.6,1.4,91.6,91.85,0.22,91.43,91.97,92.08,0.171,0.0016,0.0,High,texture_loss_HIGH; texture_loss_MED
F4,Greenland_E_Coast,F,-24.0,68.0,3549,500,100,137,161,197.9,41.5,63.6,55.13,17.12,42.62,47.53,93.48,5.548,0.4299,-4.8,Medium,L*_oor_55
F5,Arctic_Central,F,0.0,85.0,4096,113,53,87,114,206.8,53.4,45.0,35.7,3.95,29.63,34.8,42.51,2.114,0.3496,-7.2,High,texture_loss_HIGH; texture_loss_MED; L*_oor_36
F6,Vatnajokull,F,-17.0,64.5,3709,580,95,122,136,166.7,34.7,54.9,49.48,16.96,27.49,45.62,90.24,7.576,0.6033,-3.2,Medium,L*_oor_49
G1,Tibet_Plateau,G,90.0,33.0,6144,1297,148,133,107,42.2,29.6,58.5,56.31,11.91,39.87,56.31,77.65,7.962,0.9269,-0.1,Low,within_range
G2,Andes_Central,G,-70.0,-15.0,2503,2389,94,92,68,64.7,35.2,39.5,38.32,15.3,18.72,40.7,63.26,5.181,0.8262,-0.4,Medium,L*_oor_38
G3,Rockies_Colorado,G,-106.0,39.5,1683,1149,105,96,72,45.0,31.6,41.4,40.85,10.8,22.9,42.01,57.61,6.565,0.8965,-0.1,Medium,L*_oor_41
G4,Alps_Core,G,10.0,46.5,4323,989,69,76,56,83.6,32.5,30.3,30.95,12.21,15.58,28.55,50.63,7.085,0.8912,-0.2,Medium,L*_oor_31
H1,Amazon_Rainforest,H,-63.0,-5.0,2662,2161,47,61,35,93.4,42.9,24.2,24.14,2.37,21.33,23.9,27.68,1.676,0.388,-1.6,Medium,L*_oor_24
H2,Congo_Rainforest,H,24.0,-1.0,4642,2070,46,60,35,93.1,41.4,23.6,23.5,2.25,20.29,23.45,27.02,1.389,0.3561,-0.9,Medium,L*_oor_24
H3,Siberian_Taiga,H,105.0,62.0,6485,637,151,161,160,171.3,8.0,63.8,65.36,14.89,35.02,68.68,84.5,7.125,0.9637,-0.5,Medium,L*_oor_65
I1,N_China_Plain,I,116.0,38.0,6735,1183,99,93,68,50.3,32.1,39.3,39.55,6.83,25.55,41.02,48.27,3.63,0.7939,0.1,Medium,L*_oor_40
I2,Great_Plains,I,-98.0,40.0,1865,1137,105,93,67,41.8,36.4,41.4,40.22,2.91,35.05,40.43,44.73,1.817,0.6303,-0.0,Medium,L*_oor_40
I3,W_Europe_Plain,I,5.0,51.0,4209,887,74,89,70,105.0,37.5,36.7,36.34,9.72,22.62,34.38,52.36,3.419,0.7305,-4.4,Medium,L*_oor_36
I4,Ganges_Plain,I,80.0,26.0,5916,1456,100,100,70,60.4,32.1,40.4,41.85,7.1,27.8,43.11,51.12,3.852,0.855,-0.2,Medium,L*_oor_42
J1,Shanghai,J,121.5,31.2,6860,1338,89,109,101,126.2,33.4,45.6,44.36,11.57,22.72,50.53,59.5,2.988,0.5556,-6.5,Medium,L*_oor_44
J2,New_York,J,-74.0,40.7,2412,1121,67,85,81,118.7,39.9,37.5,34.84,10.79,22.27,30.22,52.35,2.536,0.5355,-2.7,Medium,L*_oor_35
J3,London_Paris_Ruhr,J,3.0,51.5,4164,876,81,104,96,133.6,37.2,44.2,42.3,9.19,26.81,42.81,52.55,2.835,0.559,-8.0,Medium,L*_oor_42
J4,Tokyo_Bay,J,139.8,35.5,7277,1240,57,82,92,167.4,45.9,39.3,33.34,11.16,15.26,35.78,46.84,4.181,0.6894,-5.2,Medium,L*_oor_33
