name,artist,mood_tags,texture_tags,negative_tags,energy,brightness,density,warmth,rhythmic_motion,vocal_presence,emotional_weight,language,has_vocal,genre_family,scene_fit,sequence_shape,label_confidence,reason
In Dance,Favours!偏袒乐队,urban;restless;hopeful,soft_synth;electric_distant;reverb_heavy,,0.6,0.55,0.55,0.45,0.65,0.6,0.5,en,1,synthpop,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.75,""""user_requested_explore"""":0.7}""",city_to_inner_room,0.85,合成器驱动的都市感节奏，人声带有距离感，整体明亮而略带不安
Ventura,Marini,dreamy;warm;nostalgic,soft_synth;ambient_pad;reverb_heavy,,0.3,0.45,0.35,0.6,0.25,0,0.5,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""morning_cloudy_slow"""":0.8,""""evening_city_walk"""":0.75}""",soft_focus_work,0.85,温暖的氛围合成器与深远混响，营造梦幻而怀旧的声景
等 (Live),张学友,melancholic;nostalgic;restrained,piano;string;vocal_breath;cinematic,,0.35,0.4,0.45,0.55,0.3,0.75,0.8,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.75}""",slow_opening,0.9,张学友现场版深情演绎，钢琴与弦乐铺垫，怀旧而克制的伤感
Tumanako,Chantal Acda,dreamy;misty;introspective,ambient_pad;vocal_breath;reverb_heavy;minimal,,0.25,0.35,0.3,0.5,0.2,0.6,0.7,en,1,ambient_folk,"""{""""morning_cloudy_slow"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",fade_into_inner_space,0.85,空灵的人声与氛围铺底交织，营造出朦胧、内省的梦幻感
Winter Without You,XG,melancholic;lonely;bittersweet,soft_synth;vocal_breath;reverb_heavy;cold_synth,,0.35,0.3,0.45,0.25,0.3,0.7,0.75,en,1,pop,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""night_clear_lonely"""":0.75}""",late_night_descent,0.85,XG 冷感合成器与空灵人声交织，营造出冬日失恋的孤独与苦涩氛围
月光,鬼束ちひろ,melancholic;bittersweet;restrained,piano;string;vocal_breath;reverb_heavy,,0.3,0.35,0.4,0.4,0.25,0.7,0.75,ja,1,j_pop,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""evening_city_walk"""":0.7}""",fade_into_inner_space,0.9,钢琴与弦乐交织，鬼束千寻的脆弱声线带来忧郁而克制的怀旧感
Light and Dark - Lee Coombs Club Remix,Lee Coombs,restless;urban;unresolved,cold_synth;electric_distant;reverb_heavy,,0.7,0.4,0.7,0.3,0.8,0,0.5,instrumental,0,electronic,"""{""""evening_city_walk"""":0.7,""""deep_night_introspective"""":0.6,""""night_clear_lonely"""":0.55}""",city_to_inner_room,0.8,俱乐部混音版，冷合成器与深远混响营造出都市夜晚的不安与律动
Moonlight Rider,Katarina Pejak,warm;nostalgic;hopeful,acoustic;jazz_brush;vocal_breath,,0.4,0.55,0.4,0.65,0.35,0.6,0.5,en,1,jazz,"""{""""evening_city_walk"""":0.8,""""afternoon_warm_idle"""":0.75,""""weekend_slow"""":0.7}""",soft_focus_work,0.85,温暖的爵士风格，木吉他与人声交织，怀旧而充满希望
爱过,F.I.R.,nostalgic;bittersweet;melancholic,piano;string;vocal_breath,,0.45,0.5,0.5,0.55,0.4,0.7,0.65,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""night_clear_lonely"""":0.75,""""weekend_slow"""":0.7}""",slow_opening,0.85,F.I.R.的抒情摇滚，钢琴与弦乐铺底，主唱声线带怀旧与伤感，能量中等偏弱
Dying Cosily,Art Of Empathy,melancholic;introspective;restrained,piano;ambient_pad;reverb_heavy;minimal,,0.2,0.25,0.2,0.3,0.1,0,0.8,instrumental,0,modern_classical,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.9,极简钢琴与氛围垫音交织，缓慢而克制，充满内省与忧郁的静谧感
Sleepwalker,Of Monsters and Men,dreamy;melancholic;restless,acoustic;vocal_breath;reverb_heavy;cinematic,,0.4,0.35,0.5,0.45,0.3,0.6,0.7,en,1,indie_folk,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.75}""",fade_into_inner_space,0.85,空灵的人声与回响吉他营造出梦幻而略带忧郁的失眠夜氛围
Time To Myself,Seeker Lover Keeper,introspective;warm;nostalgic,piano;acoustic;vocal_breath;string,,0.35,0.5,0.4,0.6,0.3,0.6,0.65,en,1,indie_folk,"""{""""morning_cloudy_slow"""":0.8,""""afternoon_warm_idle"""":0.75,""""weekend_slow"""":0.7}""",soft_focus_work,0.85,温暖的人声与钢琴、弦乐交织，营造出内省而怀旧的私密氛围
來,袁婭維,warm;hopeful;bittersweet,acoustic;vocal_breath;string;soft_synth,,0.45,0.55,0.5,0.65,0.4,0.75,0.6,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""morning_clear_light"""":0.7,""""weekend_slow"""":0.75}""",slow_opening,0.85,袁婭維溫暖的聲線搭配木吉他與弦樂，營造出懷舊中帶有希望的抒情氛圍
Goldfinger,Chris Minh Doky,warm;clear;restrained,acoustic;jazz_brush;string;minimal,,0.35,0.6,0.4,0.7,0.3,0,0.45,instrumental,0,jazz,"""{""""work_focus_low_vocal"""":0.85,""""morning_clear_light"""":0.75,""""afternoon_warm_idle"""":0.8}""",soft_focus_work,0.85,温暖的爵士吉他搭配弦乐和刷鼓，明亮而克制，适合专注或闲适场景
Save Your Tears (Remix),The Weeknd / Ariana Grande,urban;bittersweet;hopeful,soft_synth;cold_synth;vocal_breath;electric_distant,generic_radio_pop,0.6,0.5,0.55,0.4,0.6,0.8,0.55,en,1,synthpop,"""{""""evening_city_walk"""":0.55,""""deep_night_introspective"""":0.5,""""user_requested_explore"""":0.5}""",city_to_inner_room,0.85,合成器驱动的都市流行，The Weeknd 与 Ariana Grande 的声线交织，带有怀旧与希望，但商业感较强
Music to Watch Boys To,Lana Del Rey,dreamy;sensual;nostalgic,soft_synth;vocal_breath;reverb_heavy;electric_distant,,0.4,0.45,0.5,0.55,0.35,0.75,0.6,en,1,dream_pop,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""afternoon_warm_idle"""":0.7}""",city_to_inner_room,0.9,Lana Del Rey 慵懒梦幻的声线搭配软合成器与深远混响，营造出怀旧而性感的氛围
運命と恋心,和田薫,melancholic;restrained;bittersweet,string;piano;cinematic;minimal,,0.25,0.35,0.4,0.3,0.2,0,0.8,instrumental,0,classical,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",afterglow_fading,0.85,弦乐与钢琴交织的古典配乐，克制而悲怆，充满命运感的沉重与哀愁
给你看 (Live),汪睿,introspective;restrained;bittersweet,acoustic;vocal_breath;minimal,,0.35,0.4,0.35,0.5,0.3,0.7,0.7,zh,1,mandopop,"""{""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75,""""work_focus_low_vocal"""":0.7}""",slow_opening,0.85,现场版木吉他伴奏，人声真挚而克制，带有内省与苦涩的抒情质感
La Mariposa,Bruno Sanfilippo,introspective;melancholic;restrained,piano;minimal;ambient_pad,,0.15,0.25,0.2,0.35,0.1,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.9,""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8}""",slow_opening,0.9,极简钢琴与氛围铺底，缓慢而内省，充满孤独与克制感
Familiar,Agnes Obel,introspective;melancholic;restrained,piano;string;reverb_heavy;vocal_breath,,0.25,0.3,0.35,0.4,0.2,0.55,0.75,en,1,art_pop,"""{""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.9,钢琴与弦乐交织，Agnes Obel 空灵而克制的人声，营造内省而忧郁的氛围
Buried Memories,Pye Corner Audio,introspective;melancholic;restrained,ambient_pad;cold_synth;minimal;reverb_heavy,,0.2,0.25,0.3,0.3,0.15,0,0.75,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.9,冷调合成器氛围，空旷混响与极简编排营造出被掩埋记忆般的疏离与内省
Fixture Picture,Aldous Harding,introspective;melancholic;restrained,acoustic;vocal_breath;minimal,,0.25,0.3,0.35,0.4,0.2,0.6,0.7,en,1,folk,"""{""""deep_night_introspective"""":0.85,""""work_focus_low_vocal"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.85,Aldous Harding 的克制人声与简约木吉他，营造内省而忧郁的氛围
The Gaels,Artesia,introspective;melancholic;restrained,piano;string;cinematic;minimal,,0.2,0.3,0.25,0.4,0.15,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.85,钢琴与弦乐交织的凯尔特风格器乐，内省而克制，带有淡淡的忧伤
Your Hand In Mine,Explosions In The Sky,introspective;nostalgic;hopeful,cinematic;string;ambient_pad;reverb_heavy,,0.35,0.4,0.5,0.55,0.2,0,0.8,instrumental,0,post_rock,"""{""""deep_night_introspective"""":0.9,""""evening_city_walk"""":0.85,""""work_focus_low_vocal"""":0.8}""",slow_opening,0.9,后摇经典，层层递进的弦乐与氛围铺底，内省而充满希望
Imora,Mikron,dreamy;misty;restrained,ambient_pad;soft_synth;minimal,,0.25,0.35,0.3,0.45,0.15,0,0.55,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""morning_cloudy_slow"""":0.8,""""deep_night_introspective"""":0.75}""",soft_focus_work,0.85,Mikron 的这首作品以柔和的氛围合成器铺底，营造出朦胧而克制的梦幻感，适合低干扰的专注或内省场景
Can't Believe The Way We Flow,James Blake,introspective;melancholic;restrained,piano;reverb_heavy;vocal_breath;ambient_pad,,0.25,0.3,0.35,0.4,0.2,0.6,0.75,en,1,art_pop,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.7}""",fade_into_inner_space,0.9,James Blake 标志性的脆弱人声与空旷钢琴，充满内省与克制的情感流动
Baddie Baddie,Ice Spice,urban;restless;clear,cold_synth;electric_distant;vocal_breath,generic_radio_pop,0.7,0.6,0.65,0.3,0.75,0.85,0.4,en,1,drill,"""{""""evening_city_walk"""":0.55,""""user_requested_explore"""":0.5,""""night_clear_lonely"""":0.4}""",city_to_inner_room,0.8,冷调合成器与强劲节奏，Ice Spice 自信的人声充满都市街头感，但略显商业化
Gonna Be Leaving,Abigail Lapell,melancholic;nostalgic;bittersweet,acoustic;vocal_breath;string,,0.3,0.4,0.35,0.55,0.25,0.6,0.7,en,1,folk,"""{""""evening_city_walk"""":0.8,""""night_clear_lonely"""":0.75,""""deep_night_introspective"""":0.7}""",afterglow_fading,0.85,民谣吉他与人声交织，怀旧而略带忧伤的离别情绪，温暖但克制
A Little Too Much,Shawn Mendes,warm;nostalgic;hopeful,acoustic;vocal_breath;string,,0.45,0.55,0.4,0.65,0.4,0.7,0.55,en,1,pop,"""{""""morning_clear_light"""":0.7,""""evening_city_walk"""":0.75,""""weekend_slow"""":0.7}""",slow_opening,0.85,温暖的木吉他与人声，怀旧中带着希望，能量适中
Short Form,Andrew Lawrence,introspective;restrained;melancholic,piano;minimal;reverb_heavy,,0.2,0.3,0.2,0.35,0.15,0,0.7,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.85,极简钢琴独奏，缓慢而内省，混响营造出空旷的孤独感
LOOK OUT (feat. KingJet),J-E-T-S,urban;restless;hopeful,soft_synth;electric_distant;ambient_pad,,0.55,0.5,0.6,0.45,0.6,0.7,0.5,en,1,electronic,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.75,""""work_focus_low_vocal"""":0.7}""",city_to_inner_room,0.85,都市电子风格，合成器与节奏驱动，带有不安与期待的情绪
Skyhigh,Guards,dreamy;nostalgic;hopeful,soft_synth;reverb_heavy;electric_distant,,0.55,0.6,0.5,0.5,0.5,0.7,0.5,en,1,indie_pop,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.75,""""user_requested_explore"""":0.7}""",city_to_inner_room,0.85,梦幻合成器与深远混响营造的怀旧与希望感，适合都市夜晚漫步
End of World Party,HÆLOS,restless;urban;bittersweet,soft_synth;reverb_heavy;electric_distant;cold_synth,,0.55,0.4,0.6,0.35,0.5,0.6,0.7,en,1,synthpop,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""night_clear_lonely"""":0.75}""",city_to_inner_room,0.85,合成器驱动的都市感节奏，略带不安与怀旧，适合夜晚城市漫步
OOH-AHH하게,TWICE,restless;urban;hopeful,soft_synth;electric_distant;vocal_breath,,0.7,0.7,0.65,0.55,0.75,0.85,0.4,ko,1,k_pop,"""{""""evening_city_walk"""":0.6,""""user_requested_explore"""":0.55,""""weekend_slow"""":0.5}""",city_to_inner_room,0.85,TWICE 的 K-pop 曲目，能量较高，节奏明快，人声突出，带有都市感和希望情绪，但非过度甜美或主流化
Nice to See You,Two Door Cinema Club,hopeful;warm;urban,soft_synth;electric_distant;reverb_heavy,,0.6,0.65,0.55,0.6,0.6,0.7,0.45,en,1,indie_rock,"""{""""evening_city_walk"""":0.8,""""morning_clear_light"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,明亮合成器与跳跃节奏，温暖而充满都市感的独立摇滚
It's Rained All Day,Jaeden Camstra,melancholic;lonely;restrained,piano;ambient_pad;field_recording;reverb_heavy,,0.2,0.25,0.3,0.35,0.1,0,0.75,instrumental,0,ambient,"""{""""night_rain_humid"""":0.9,""""deep_night_introspective"""":0.85,""""work_focus_low_vocal"""":0.8}""",rain_on_glass,0.9,持续的雨声采样与缓慢的钢琴和弦，营造出阴郁、孤独而克制的氛围
Modern Drift,Efterklang,dreamy;restrained;nostalgic,ambient_pad;soft_synth;minimal;field_recording,,0.25,0.4,0.3,0.5,0.2,0,0.6,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""morning_cloudy_slow"""":0.8,""""deep_night_introspective"""":0.75}""",soft_focus_work,0.85,梦幻而克制的氛围声景，柔和合成器与田野录音交织，适合专注或内省场景
Aquamarine,Yelena Eckemoff,dreamy;misty;introspective,piano;ambient_pad;minimal;cinematic,,0.2,0.4,0.25,0.5,0.15,0,0.65,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""morning_cloudy_slow"""":0.75}""",slow_opening,0.9,钢琴与氛围垫交织，营造出梦幻朦胧的内省氛围，如同海蓝宝石般清澈而深邃
Valentine My Funny,F.S. Blumm,warm;dreamy;nostalgic,acoustic;lofi_dust;field_recording;minimal,,0.25,0.5,0.3,0.7,0.2,0,0.5,instrumental,0,lo_fi,"""{""""morning_cloudy_slow"""":0.85,""""work_focus_low_vocal"""":0.8,""""afternoon_warm_idle"""":0.75}""",soft_focus_work,0.85,温暖的木吉他、轻微失真和田野录音，营造出慵懒怀旧的 lo-fi 氛围
The Next Episode,Dr. Dre,urban;restless;hopeful,electric_distant;soft_synth;lofi_dust,,0.7,0.6,0.7,0.5,0.8,0.8,0.5,en,1,hip_hop,"""{""""evening_city_walk"""":0.85,""""user_requested_explore"""":0.8,""""work_focus_low_vocal"""":0.7}""",city_to_inner_room,0.85,经典西海岸嘻哈，强劲的鼓点和合成器营造出都市活力与自信氛围
爱意 (金风玉露变奏),陈致逸,warm;nostalgic;dreamy,piano;string;cinematic;reverb_heavy,,0.35,0.5,0.4,0.7,0.3,0,0.6,instrumental,0,modern_classical,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.75,""""evening_city_walk"""":0.7}""",slow_opening,0.85,钢琴与弦乐交织的变奏曲，温暖怀旧中带有梦幻感，适合安静场景
Context,Temples,dreamy;urban;nostalgic,soft_synth;reverb_heavy;electric_distant,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,en,1,psychedelic_pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""work_focus_low_vocal"""":0.7}""",city_to_inner_room,0.8,梦幻合成器与复古音色营造出都市怀旧感，人声飘渺但清晰
For What It's Worth,George Winston,introspective;melancholic;restrained,piano;minimal;cinematic,,0.15,0.3,0.2,0.4,0.1,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.9,""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8}""",slow_opening,0.9,George Winston 的钢琴独奏，缓慢而内省，充满留白与沉思感
Postcards,Alexandre Desplat,introspective;melancholic;restrained,piano;string;cinematic;minimal,,0.2,0.3,0.2,0.35,0.1,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.9,钢琴与弦乐交织的极简配乐，克制而内省，充满电影感的忧郁与留白
Dear Nighttime,Seeker Lover Keeper,introspective;melancholic;dreamy,piano;string;vocal_breath;reverb_heavy,,0.25,0.35,0.3,0.45,0.2,0.6,0.7,en,1,indie_folk,"""{""""deep_night_introspective"""":0.9,""""night_clear_lonely"""":0.85,""""work_focus_low_vocal"""":0.7}""",late_night_descent,0.85,钢琴与弦乐铺垫，轻柔人声带着内省与梦幻感，适合深夜独处场景
Black Sheep,Gin Wigmore,restless;urban;bittersweet,electric_distant;vocal_breath;grainy,,0.6,0.45,0.55,0.4,0.6,0.75,0.65,en,1,alternative_pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,Gin Wigmore 沙哑而充满张力的人声，搭配粗粝的电子质感，营造出都市中不安与苦涩交织的氛围
Lust,Bethany Curve,dreamy;melancholic;introspective,reverb_heavy;electric_distant;vocal_breath;ambient_pad,,0.25,0.3,0.35,0.4,0.2,0.4,0.7,en,1,shoegaze,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""evening_city_walk"""":0.75}""",fade_into_inner_space,0.85,梦幻且忧郁的盯鞋风格，厚重混响与遥远电吉他营造内省氛围
If It Pleased Me To Appear To You Wrapped In This Drapery,Sarah Davachi,introspective;restrained;melancholic,minimal;ambient_pad;cold_synth;reverb_heavy,,0.15,0.2,0.2,0.3,0.05,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.9,""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8}""",afterglow_fading,0.9,极简冷调氛围，缓慢而克制的管风琴与合成器纹理，充满内省与孤寂感
Vibração,Pauline London,dreamy;warm;sensual,soft_synth;ambient_pad;vocal_breath;reverb_heavy,,0.35,0.5,0.4,0.65,0.3,0.6,0.5,pt,1,dream_pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""work_focus_low_vocal"""":0.7}""",city_to_inner_room,0.85,梦幻合成器与温暖人声交织，营造出迷离而感性的氛围
Snape to Malfoy Manor,Alexandre Desplat,melancholic;restrained;bittersweet,string;cinematic;minimal,,0.2,0.3,0.35,0.25,0.15,0,0.8,instrumental,0,film_score,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",slow_opening,0.9,弦乐主导的电影配乐，克制而忧郁，充满悬而未决的叙事张力
Least of Me,Luke Temple,introspective;melancholic;restrained,acoustic;vocal_breath;minimal,,0.3,0.35,0.3,0.45,0.2,0.6,0.7,en,1,indie_folk,"""{""""deep_night_introspective"""":0.85,""""work_focus_low_vocal"""":0.8,""""night_rain_humid"""":0.75}""",fade_into_inner_space,0.85,Luke Temple 以简约的吉他与人声营造内省而克制的氛围，情感深沉但不过度渲染
Morning Ritual,Special Request,restrained;introspective;misty,ambient_pad;minimal;field_recording;soft_synth,,0.2,0.3,0.25,0.4,0.15,0,0.5,instrumental,0,ambient,"""{""""morning_cloudy_slow"""":0.85,""""work_focus_low_vocal"""":0.8,""""morning_clear_light"""":0.7}""",soft_focus_work,0.85,氛围电子作品，以环境音和软合成器营造清晨的朦胧与内省感
Immigration Nation,Charlie Porter,restless;urban;unresolved,electric_distant;cold_synth;reverb_heavy,,0.65,0.4,0.7,0.3,0.6,0,0.7,instrumental,0,electronic,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""night_clear_lonely"""":0.7}""",city_to_inner_room,0.85,冷调合成器与深远混响营造出都市漂泊的不安与悬而未决的情绪
HULA HOOP - City Pop Ver.,LOONA,urban;nostalgic;hopeful,soft_synth;acoustic;vocal_breath,,0.55,0.6,0.5,0.55,0.5,0.7,0.45,en,1,city_pop,"""{""""evening_city_walk"""":0.85,""""afternoon_warm_idle"""":0.75,""""weekend_slow"""":0.7}""",city_to_inner_room,0.85,City Pop 版本融合软合成器和木吉他，怀旧都市感与轻快律动并存
China clay pt.Ⅱ,Snow Fox Apprentice,dreamy;misty;restrained,ambient_pad;soft_synth;field_recording;minimal,,0.25,0.35,0.3,0.45,0.2,0,0.5,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""morning_cloudy_slow"""":0.8,""""night_clear_lonely"""":0.75}""",soft_focus_work,0.85,氛围电子作品，软合成器与田野录音营造朦胧梦幻的质感，能量低而克制
Come into My World,Kylie Minogue,hopeful;warm;urban,soft_synth;vocal_breath;electric_distant,,0.6,0.65,0.55,0.6,0.6,0.75,0.45,en,1,dance_pop,"""{""""evening_city_walk"""":0.85,""""user_requested_explore"""":0.75,""""morning_clear_light"""":0.7}""",city_to_inner_room,0.85,Kylie Minogue 的舞曲流行，温暖合成器与人声营造都市漫步的乐观氛围
