name,artist,mood_tags,texture_tags,negative_tags,energy,brightness,density,warmth,rhythmic_motion,vocal_presence,emotional_weight,language,has_vocal,genre_family,scene_fit,sequence_shape,label_confidence,reason
"""Love, Hope And Misery""",Jake Bugg,melancholic;bittersweet;restless,acoustic;vocal_breath;string,,0.45,0.4,0.5,0.5,0.4,0.6,0.7,en,1,folk_rock,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""work_focus_low_vocal"""":0.7}""",slow_opening,0.85,Jake Bugg 的民谣摇滚，木吉他与人声交织出苦涩而略带不安的怀旧情绪
Love Song,方大同,warm;nostalgic;hopeful,acoustic;soft_synth;vocal_breath,,0.4,0.55,0.45,0.65,0.4,0.7,0.55,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""morning_clear_light"""":0.7,""""weekend_slow"""":0.75}""",slow_opening,0.85,方大同的温暖声线搭配木吉他，怀旧而充满希望的抒情流行
Come Home Baby,The Charlatans,nostalgic;warm;hopeful,acoustic;string;vocal_breath;electric_distant,,0.45,0.55,0.5,0.65,0.4,0.6,0.55,en,1,britpop,"""{""""evening_city_walk"""":0.8,""""weekend_slow"""":0.75,""""morning_clear_light"""":0.7}""",slow_opening,0.85,英伦摇滚的温暖怀旧感，木吉他与弦乐交织，人声带着呼吸感，充满希望与归家的温情
Ozon_Mozart,Wolfgang Amadeus Mozart,clear;restrained;introspective,piano;minimal;cinematic,,0.2,0.5,0.2,0.4,0.15,0,0.6,instrumental,0,classical,"""{""""work_focus_low_vocal"""":0.85,""""morning_clear_light"""":0.8,""""deep_night_introspective"""":0.75}""",slow_opening,0.85,莫扎特钢琴作品，清晰而克制的古典质感，适合专注与内省场景
New York City,Norah Jones,warm;nostalgic;urban,acoustic;vocal_breath;jazz_brush;string,,0.35,0.5,0.4,0.7,0.3,0.6,0.55,en,1,jazz,"""{""""evening_city_walk"""":0.85,""""work_focus_low_vocal"""":0.8,""""afternoon_warm_idle"""":0.75}""",city_to_inner_room,0.9,Norah Jones 温暖醇厚的声线搭配爵士吉他、弦乐与刷镲，营造出都市夜晚的怀旧与舒适感
Wait,We're Dreaming,dreamy;nostalgic;hopeful,soft_synth;ambient_pad;reverb_heavy,,0.35,0.5,0.4,0.55,0.3,0,0.6,instrumental,0,ambient_pop,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""work_focus_low_vocal"""":0.75}""",city_to_inner_room,0.85,梦幻合成器与深远混响营造出怀旧而充满希望的氛围，适合城市夜晚的内心旅程
西街,48V,urban;nostalgic;restrained,electric_distant;cold_synth;minimal,,0.35,0.4,0.4,0.3,0.3,0,0.6,instrumental,0,post_rock,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",city_to_inner_room,0.85,冷调合成器与远距离电声，营造出城市夜晚的克制与怀旧氛围
Arse End Of The Moon,Special Request,melancholic;lonely;restrained,ambient_pad;cold_synth;minimal;field_recording,,0.2,0.2,0.3,0.25,0.15,0,0.7,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,冷调氛围铺底与田野录音交织，营造出孤寂而克制的深夜声景
今天没回家,陶喆,urban;restless;nostalgic,acoustic;electric_distant;jazz_brush;soft_synth,,0.6,0.55,0.55,0.5,0.65,0.7,0.45,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""user_requested_explore"""":0.75,""""night_clear_lonely"""":0.7}""",city_to_inner_room,0.85,陶喆的R&B风格融合爵士元素，都市感强烈，节奏轻快但带有一丝怀旧与不安
Pipo Pipo,Serani Poji,dreamy;warm;hopeful,soft_synth;vocal_breath;lofi_dust,,0.45,0.6,0.5,0.65,0.5,0.7,0.4,ja,1,shibuya_kei,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.75,""""weekend_slow"""":0.7}""",soft_focus_work,0.85,轻快的合成器与甜美的人声，营造出梦幻而温暖的氛围，适合悠闲的午后
Miss Displacement,Bethany Curve,dreamy;melancholic;introspective,ambient_pad;reverb_heavy;electric_distant;vocal_breath,,0.25,0.3,0.35,0.4,0.2,0.4,0.7,en,1,dream_pop,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.7}""",fade_into_inner_space,0.85,梦幻流行风格，厚重混响与遥远电吉他营造出迷离、内省的氛围，人声如呼吸般融入声景
Unreal Erections /// Severed Heads,Siskiyou,restless;unresolved;melancholic,electric_distant;cold_synth;reverb_heavy,,0.45,0.3,0.55,0.25,0.5,0.4,0.7,en,1,indie_rock,"""{""""deep_night_introspective"""":0.8,""""night_clear_lonely"""":0.75,""""evening_city_walk"""":0.7}""",city_to_inner_room,0.8,冷调合成器与遥远电吉他，不安的节奏与疏离人声，营造出城市夜晚的孤独与未解情绪
Strange Flower,Copeland,dreamy;melancholic;nostalgic,soft_synth;reverb_heavy;vocal_breath;electric_distant,,0.35,0.4,0.45,0.5,0.3,0.6,0.65,en,1,indie_rock,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""night_rain_humid"""":0.7}""",fade_into_inner_space,0.85,梦幻合成器与深远混响包裹着脆弱人声，怀旧而忧郁的独立摇滚质感
Endless Life,Friska Viljor,warm;nostalgic;hopeful,acoustic;vocal_breath;string,,0.45,0.55,0.4,0.65,0.35,0.6,0.5,en,1,indie_folk,"""{""""morning_clear_light"""":0.8,""""evening_city_walk"""":0.75,""""weekend_slow"""":0.7}""",slow_opening,0.85,温暖的木吉他与人声，怀旧而充满希望的独立民谣质感
Don't Stop 'Til You Get Enough,Michael Jackson,restless;urban;hopeful,soft_synth;electric_distant;vocal_breath,,0.75,0.7,0.65,0.6,0.8,0.85,0.4,en,1,disco,"""{""""evening_city_walk"""":0.8,""""user_requested_explore"""":0.75,""""weekend_slow"""":0.7}""",city_to_inner_room,0.9,迈克尔·杰克逊标志性的迪斯科节奏，充满活力与都市感，人声主导且律动强烈
Bee,Detwiije,dreamy;misty;restrained,ambient_pad;minimal;field_recording;grainy,,0.2,0.3,0.25,0.4,0.15,0,0.6,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""morning_cloudy_slow"""":0.8,""""deep_night_introspective"""":0.75}""",soft_focus_work,0.85,朦胧的氛围声景，极简的田野录音与颗粒感纹理，内敛而梦幻
wisemen,Reuben And The Dark,introspective;melancholic;restrained,acoustic;vocal_breath;reverb_heavy;minimal,,0.25,0.3,0.35,0.4,0.2,0.6,0.7,en,1,indie_folk,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,木吉他与人声主导，混响厚重，情绪内敛而忧郁，适合深夜独处场景
Intro,Haiku Salut,introspective;dreamy;restrained,ambient_pad;field_recording;minimal;cinematic,,0.15,0.3,0.2,0.4,0.1,0,0.6,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""morning_cloudy_slow"""":0.75}""",slow_opening,0.85,氛围电子开场，环境音与极简铺底营造内省而梦幻的声景
Them Crown,Bicolor,restrained;melancholic;unresolved,piano;reverb_heavy;minimal,,0.25,0.3,0.35,0.4,0.2,0,0.7,instrumental,0,modern_classical,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",afterglow_fading,0.85,钢琴主导的极简编排，混响深沉，情绪克制而悬而未决，适合内省场景
WE GO,fromis_9,hopeful;urban;restless,soft_synth;vocal_breath;electric_distant,,0.65,0.7,0.6,0.5,0.7,0.8,0.4,ko,1,k_pop,"""{""""evening_city_walk"""":0.7,""""user_requested_explore"""":0.65,""""morning_clear_light"""":0.6}""",city_to_inner_room,0.85,K-pop 舞曲，充满活力的合成器与人声，都市感与希望并存
Rise to the Occasion,Benny Lackner Trio,warm;hopeful;clear,piano;acoustic;jazz_brush,,0.4,0.6,0.5,0.7,0.5,0,0.5,instrumental,0,jazz,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.75,""""work_focus_low_vocal"""":0.7}""",soft_focus_work,0.85,钢琴三重奏，温暖清晰的爵士律动，充满希望与明亮感
Serenity,J Majik,introspective;melancholic;restrained,ambient_pad;minimal;reverb_heavy,,0.2,0.3,0.25,0.35,0.15,0,0.7,instrumental,0,ambient_drum_and_bass,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",fade_into_inner_space,0.85,氛围铺底与极简节奏，内省而克制，适合深夜专注或沉思
Remind You,FRENSHIP,nostalgic;warm;hopeful,soft_synth;vocal_breath;reverb_heavy,,0.45,0.5,0.5,0.6,0.4,0.7,0.6,en,1,indie_pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""work_focus_low_vocal"""":0.7}""",city_to_inner_room,0.85,温暖合成器与人声营造怀旧氛围，能量中等偏柔和，适合都市夜晚或内省场景
駅,中森明菜,nostalgic;urban;melancholic,soft_synth;reverb_heavy;vocal_breath;electric_distant,,0.4,0.45,0.5,0.5,0.4,0.7,0.65,ja,1,j_pop,"""{""""evening_city_walk"""":0.85,""""night_clear_lonely"""":0.8,""""deep_night_introspective"""":0.75}""",city_to_inner_room,0.9,中森明菜标志性的都市抒情，合成器与混响营造出夜晚车站的怀旧与忧郁
A Guide to Gothenburg for the Sleepless,Ben Osborn,introspective;melancholic;restrained,piano;reverb_heavy;minimal;vocal_breath,,0.25,0.3,0.25,0.35,0.15,0.4,0.75,en,1,art_folk,"""{""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.7}""",late_night_descent,0.9,钢琴主导的极简编排，深沉混响与人声低语营造失眠夜的孤寂内省氛围
Love Theme from the Godfather,Nino Rota,melancholic;nostalgic;bittersweet,string;cinematic;piano;acoustic,,0.25,0.35,0.4,0.55,0.15,0,0.8,instrumental,0,film_score,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",afterglow_fading,0.9,电影配乐经典，弦乐与钢琴交织出深沉而怀旧的西西里哀愁
食人夢,VH (Vast & Hazy),melancholic;restless;bittersweet,electric_distant;vocal_breath;reverb_heavy,,0.45,0.35,0.55,0.3,0.4,0.7,0.75,zh,1,indie_rock,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""evening_city_walk"""":0.75}""",fade_into_inner_space,0.85,VH 的迷幻摇滚风格，电吉他遥远而沉重，人声充满不安与苦涩，适合深夜内省
蘇州夜曲,Ann Sally,nostalgic;warm;melancholic,acoustic;jazz_brush;vocal_breath;string,,0.25,0.4,0.35,0.6,0.2,0.6,0.65,zh,1,jazz,"""{""""evening_city_walk"""":0.8,""""night_clear_lonely"""":0.75,""""morning_cloudy_slow"""":0.7}""",afterglow_fading,0.85,Ann Sally 温暖慵懒的声线搭配爵士吉他与弦乐，怀旧而略带忧伤的夜晚氛围
We All Were Swallowed by Sleep,Message To Bears,dreamy;melancholic;restrained,ambient_pad;field_recording;minimal;string,,0.2,0.3,0.25,0.4,0.1,0,0.7,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.85,""""work_focus_low_vocal"""":0.8}""",fade_into_inner_space,0.9,氛围铺底+田野录音+弦乐，梦幻而克制的声景，如同被睡眠吞噬的静谧感
Novel (Mr. Carmack Tribute),Coubo,introspective;melancholic;dreamy,ambient_pad;soft_synth;minimal;lofi_dust,,0.25,0.3,0.35,0.4,0.2,0,0.65,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,氛围电子作品，柔和合成器与低保真质感营造出内省而梦幻的深夜氛围
Travel Around Stars (vocal ver.),Kashiwa Daisuke,dreamy;nostalgic;hopeful,soft_synth;ambient_pad;cinematic;vocal_breath,,0.35,0.5,0.4,0.55,0.3,0.6,0.65,en,1,ambient_pop,"""{""""deep_night_introspective"""":0.85,""""evening_city_walk"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,梦幻合成器与空灵人声交织，营造出星空漫游般的怀旧与希望感
The Danish Girl,Alexandre Desplat,introspective;melancholic;restrained,piano;string;cinematic;minimal,,0.15,0.3,0.2,0.35,0.1,0,0.8,instrumental,0,film_score,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.9,Desplat 标志性的钢琴与弦乐编排，克制而内省，充满电影感的忧郁与留白
她说 (Live),黄丽玲,melancholic;bittersweet;nostalgic,piano;vocal_breath;string;reverb_heavy,,0.35,0.4,0.45,0.5,0.3,0.75,0.7,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""night_rain_humid"""":0.7}""",slow_opening,0.85,黄丽玲现场版钢琴抒情，人声充满情感张力，怀旧与苦涩交织
Can't Believe Anymore,Simon Bonney,melancholic;lonely;unresolved,acoustic;reverb_heavy;vocal_breath,,0.25,0.3,0.35,0.35,0.2,0.6,0.75,en,1,folk,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.7}""",fade_into_inner_space,0.85,Simon Bonney 的沧桑人声与空旷吉他，弥漫着无法释怀的忧郁与孤独
The Light (Interlude),Talos,introspective;dreamy;restrained,ambient_pad;soft_synth;minimal;reverb_heavy,,0.25,0.35,0.3,0.45,0.15,0,0.65,instrumental,0,ambient_pop,"""{""""deep_night_introspective"""":0.85,""""work_focus_low_vocal"""":0.8,""""night_clear_lonely"""":0.75}""",fade_into_inner_space,0.85,氛围感强的间奏曲，软合成器与深远混响营造出内省而梦幻的声景
Still Waters,Maksim Mrvica,introspective;melancholic;restrained,piano;cinematic;minimal;string,,0.15,0.3,0.2,0.35,0.1,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.75}""",slow_opening,0.9,钢琴与弦乐交织，缓慢而克制，营造出内省与忧郁的静谧氛围
Ladbroke Grove Coda,The Waterboys,nostalgic;urban;bittersweet,acoustic;string;electric_distant;field_recording,,0.4,0.5,0.45,0.55,0.35,0,0.6,instrumental,0,folk_rock,"""{""""evening_city_walk"""":0.8,""""work_focus_low_vocal"""":0.75,""""night_clear_lonely"""":0.7}""",city_to_inner_room,0.85,木吉他与弦乐交织，带有城市漫步的怀旧与淡淡忧伤，器乐编排温暖而疏离
Into the blue,re:plus,dreamy;nostalgic;warm,piano;soft_synth;string;ambient_pad,,0.35,0.5,0.4,0.65,0.3,0,0.55,instrumental,0,jazz_hop,"""{""""evening_city_walk"""":0.85,""""work_focus_low_vocal"""":0.8,""""deep_night_introspective"""":0.75}""",city_to_inner_room,0.85,re:plus 标志性的钢琴与柔和合成器交织，营造出温暖怀旧的都市氛围，适合夜晚漫步或专注工作
LEFT-EYE,Yuki Hayashi,restless;urban;unresolved,electric_distant;cold_synth;cinematic,,0.6,0.45,0.55,0.3,0.65,0,0.5,instrumental,0,cinematic_orchestral,"""{""""evening_city_walk"""":0.8,""""work_focus_low_vocal"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,林友树标志性的电子+管弦融合，急促的节奏与冷感合成器营造出都市不安与悬疑氛围
"""Tsar Saltan, Op. 57: Flight of the Bumblebee""",André Previn,restless;clear;urban,acoustic;cinematic;minimal,,0.8,0.7,0.6,0.3,0.9,0,0.3,instrumental,0,classical,"""{""""work_focus_low_vocal"""":0.4,""""evening_city_walk"""":0.3,""""user_requested_explore"""":0.5}""",slow_opening,0.85,快速密集的管弦乐演奏，充满动感和清晰度，但缺乏温暖和情感深度
You're Light,Harrison,warm;hopeful;clear,acoustic;soft_synth;vocal_breath,,0.4,0.6,0.4,0.7,0.35,0.6,0.5,en,1,indie_folk,"""{""""morning_clear_light"""":0.85,""""afternoon_warm_idle"""":0.8,""""weekend_slow"""":0.75}""",soft_focus_work,0.85,温暖的木吉他与人声，明亮而充满希望，适合轻松专注的场景
Hungry,Fergie,restless;urban;hopeful,electric_distant;soft_synth;vocal_breath,,0.65,0.6,0.7,0.4,0.7,0.85,0.5,en,1,pop,"""{""""evening_city_walk"""":0.6,""""user_requested_explore"""":0.55,""""work_focus_low_vocal"""":0.5}""",city_to_inner_room,0.8,Fergie 的流行曲目，能量较高，带有都市感和进取情绪，但人声主导且节奏强劲，不适合低能量场景
"""Wonderland, Pt. 1 (Comeback)""",Gentiane MG Trio,restrained;clear;bittersweet,piano;acoustic;jazz_brush;minimal,,0.35,0.55,0.4,0.5,0.4,0,0.6,instrumental,0,jazz,"""{""""work_focus_low_vocal"""":0.85,""""morning_clear_light"""":0.75,""""afternoon_warm_idle"""":0.7}""",soft_focus_work,0.85,钢琴三重奏，清晰而克制的爵士编排，带有淡淡的怀旧与苦甜感
Ambition For Cash,Key Glock,urban;restless;hopeful,electric_distant;cold_synth;soft_synth,,0.6,0.55,0.65,0.4,0.7,0.8,0.5,en,1,trap,"""{""""evening_city_walk"""":0.8,""""user_requested_explore"""":0.75,""""work_focus_low_vocal"""":0.65}""",city_to_inner_room,0.85,Key Glock 的 trap 风格，冷合成器与都市感节奏，充满野心与不安的律动
Monsoon,Run Child Run,melancholic;restrained;bittersweet,piano;string;reverb_heavy;vocal_breath,,0.35,0.3,0.4,0.45,0.25,0.6,0.7,en,1,indie_folk,"""{""""night_rain_humid"""":0.85,""""deep_night_introspective"""":0.8,""""work_focus_low_vocal"""":0.7}""",rain_on_glass,0.85,钢琴与弦乐交织，人声轻柔而克制，营造出雨季般的忧郁与怀旧氛围
Runaway,Abigail Lapell,melancholic;lonely;restrained,acoustic;vocal_breath;minimal,,0.25,0.35,0.3,0.4,0.2,0.6,0.7,en,1,folk,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""work_focus_low_vocal"""":0.7}""",fade_into_inner_space,0.85,简约的民谣编配，脆弱的人声与孤独的逃离主题，充满内省与克制
Hedwig's Theme 3,David Helbock,introspective;melancholic;restrained,piano;cinematic;minimal,,0.15,0.3,0.2,0.35,0.1,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.9,钢琴独奏版本，极简而内省，带有电影配乐般的克制与忧郁
Subterranean Lakes,Pye Corner Audio,misty;detached;restrained,ambient_pad;cold_synth;minimal;field_recording,,0.2,0.25,0.3,0.3,0.15,0,0.6,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,冷调合成器与氛围铺底营造出地下湖般的迷离与疏离感，极简而克制
You Don't Know Love,Olly Murs,warm;hopeful;nostalgic,acoustic;vocal_breath;soft_synth,,0.55,0.6,0.5,0.65,0.5,0.7,0.5,en,1,pop,"""{""""morning_clear_light"""":0.7,""""evening_city_walk"""":0.75,""""weekend_slow"""":0.65}""",slow_opening,0.85,Olly Murs 温暖声线搭配轻快流行编曲，传递怀旧与希望感
I'm Sorry,顺子,melancholic;bittersweet;introspective,piano;vocal_breath;string,,0.35,0.4,0.45,0.5,0.3,0.7,0.75,zh,1,mandopop,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""evening_city_walk"""":0.7}""",slow_opening,0.9,顺子深情演绎的抒情曲，钢琴与弦乐交织，充满内省的悲伤与遗憾
