name,artist,mood_tags,texture_tags,negative_tags,energy,brightness,density,warmth,rhythmic_motion,vocal_presence,emotional_weight,language,has_vocal,genre_family,scene_fit,sequence_shape,label_confidence,reason
Never,Warmo,melancholic;introspective;restrained,piano;reverb_heavy;minimal,,0.2,0.3,0.25,0.35,0.15,0,0.75,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.85,极简钢琴搭配厚重混响，营造内省而克制的忧郁氛围
Sea of Cloud,Nujabes,dreamy;warm;nostalgic,lofi_dust;soft_synth;ambient_pad;jazz_brush,,0.35,0.5,0.4,0.65,0.4,0,0.5,instrumental,0,lo_fi,"""{""""work_focus_low_vocal"""":0.85,""""morning_cloudy_slow"""":0.8,""""evening_city_walk"""":0.75}""",soft_focus_work,0.9,Nujabes 标志性的 lo-fi 爵士嘻哈，温暖的采样与鼓点营造出梦幻怀旧的氛围
START OVER,Tiffany Day,hopeful;warm;nostalgic,acoustic;vocal_breath;soft_synth,,0.45,0.6,0.4,0.65,0.4,0.7,0.55,en,1,indie_pop,"""{""""morning_clear_light"""":0.8,""""evening_city_walk"""":0.75,""""weekend_slow"""":0.7}""",gentle_recovery,0.85,温暖的木吉他与人声，充满希望与怀旧感的 indie pop 作品
Gravity,Sara Bareilles,melancholic;bittersweet;restrained,piano;vocal_breath;string,,0.35,0.4,0.45,0.5,0.3,0.7,0.75,en,1,pop,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.7}""",slow_opening,0.9,钢琴主导的抒情曲，Sara Bareilles 脆弱而克制的人声传递出忧郁与苦涩交织的情感
Sova,Anna Von Hausswolff,melancholic;introspective;restrained,piano;reverb_heavy;vocal_breath;cinematic,,0.25,0.2,0.4,0.35,0.15,0.6,0.85,en,1,art_pop,"""{""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.85,""""work_focus_low_vocal"""":0.7}""",fade_into_inner_space,0.9,Anna Von Hausswolff 的钢琴与空灵人声营造出深沉、内省的忧郁氛围，缓慢而富有情感重量
flicker,ariiol,dreamy;misty;restrained,soft_synth;ambient_pad;reverb_heavy;minimal,,0.25,0.35,0.3,0.4,0.2,0,0.5,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""morning_cloudy_slow"""":0.75}""",soft_focus_work,0.85,轻柔合成器与氛围铺垫，朦胧而克制，适合专注或内省场景
Spartacus Love Theme,"""SOIL & """"PIMP"""" SESSIONS""",sensual;restrained;bittersweet,jazz_brush;acoustic;string;cinematic,,0.35,0.5,0.4,0.6,0.3,0,0.7,instrumental,0,jazz,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""afternoon_warm_idle"""":0.7}""",afterglow_fading,0.85,爵士乐队演绎的经典主题，小号与弦乐交织出克制而感性的氛围
Moon River,Pedro José Sanchez Martinez,nostalgic;warm;bittersweet,acoustic;string;vocal_breath,,0.25,0.5,0.35,0.7,0.2,0.6,0.65,en,1,jazz,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.75,""""evening_city_walk"""":0.7}""",slow_opening,0.85,经典爵士标准曲，木吉他与人声的温暖演绎，充满怀旧与淡淡的忧伤
Girls Never Die,tripleS,urban;restless;hopeful,soft_synth;vocal_breath;electric_distant,,0.6,0.55,0.6,0.5,0.6,0.75,0.5,en,1,k_pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,合成器驱动的K-pop曲目，都市感与不安中带着希望，人声突出
Andata,坂本龍一,introspective;melancholic;restrained,piano;minimal;ambient_pad,,0.1,0.25,0.2,0.3,0.05,0,0.85,instrumental,0,modern_classical,"""{""""deep_night_introspective"""":0.9,""""work_focus_low_vocal"""":0.85,""""night_rain_humid"""":0.8}""",slow_opening,0.95,极简钢琴与氛围铺底，缓慢而内省，充满静谧的哀伤感
Way Out,FKJ,dreamy;warm;nostalgic,soft_synth;acoustic;ambient_pad;lofi_dust,,0.35,0.5,0.4,0.65,0.3,0,0.5,instrumental,0,lo_fi,"""{""""work_focus_low_vocal"""":0.85,""""morning_cloudy_slow"""":0.8,""""evening_city_walk"""":0.75}""",soft_focus_work,0.9,FKJ 的器乐作品，软合成器与木吉他交织，温暖怀旧的 lo-fi 氛围，适合专注或漫步
Wu-Chang Library 天東閣,沉默橙,introspective;dreamy;nostalgic,piano;ambient_pad;field_recording;minimal,,0.25,0.4,0.3,0.5,0.2,0,0.6,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""morning_cloudy_slow"""":0.75}""",soft_focus_work,0.85,钢琴与氛围音垫交织，带有田野录音的细节，营造出内省而梦幻的图书馆氛围
Aim is Not to Sweat,The Shanghai Restoration Project / Tebza Majaivane,urban;restless;bittersweet,electric_distant;lofi_dust;soft_synth;field_recording,,0.55,0.5,0.6,0.45,0.6,0,0.5,instrumental,0,electronic,"""{""""evening_city_walk"""":0.85,""""work_focus_low_vocal"""":0.8,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,上海复兴计划融合电子与田野录音，都市感强烈，节奏驱动但略带疏离的质感
Like a Rainbow (Main),Nomumbah / Nadirah Shakoor,warm;hopeful;nostalgic,acoustic;soft_synth;vocal_breath;string,,0.45,0.6,0.5,0.7,0.4,0.75,0.55,en,1,soul_pop,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.75,""""evening_city_walk"""":0.7}""",slow_opening,0.85,温暖的声线与木吉他、弦乐交织，充满希望与怀旧感的灵魂流行
Sunrise Sunset,The Screen Tones,warm;hopeful;nostalgic,acoustic;soft_synth;jazz_brush;string,,0.4,0.6,0.45,0.7,0.35,0,0.5,instrumental,0,jazz,"""{""""morning_clear_light"""":0.85,""""afternoon_warm_idle"""":0.8,""""weekend_slow"""":0.75}""",soft_focus_work,0.85,温暖的木吉他、软合成器和爵士刷子鼓，营造出明亮而怀旧的清晨氛围
Tatto,小林武史,introspective;melancholic;restrained,piano;string;cinematic;minimal,,0.25,0.35,0.3,0.4,0.2,0,0.7,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.85,小林武史的钢琴与弦乐编排，克制而内省，带有电影感的孤独与沉思
Stateside + Zara Larsson,PinkPantheress / Zara Larsson,urban;hopeful;restless,soft_synth;electric_distant;vocal_breath,,0.55,0.6,0.5,0.5,0.6,0.7,0.4,en,1,pop,"""{""""evening_city_walk"""":0.8,""""work_focus_low_vocal"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,轻快的流行曲风，合成器与鼓点营造出都市感，人声清晰但不过分煽情
Caged mind.,Kismet,restrained;melancholic;introspective,piano;minimal;reverb_heavy,,0.25,0.3,0.3,0.35,0.2,0,0.7,instrumental,0,modern_classical,"""{""""deep_night_introspective"""":0.85,""""work_focus_low_vocal"""":0.8,""""night_rain_humid"""":0.75}""",fade_into_inner_space,0.85,极简钢琴与深远混响，营造出克制而内省的孤独感，如同被囚禁的思绪
夏日光,雷雨心,warm;nostalgic;hopeful,acoustic;vocal_breath;string,,0.45,0.6,0.4,0.7,0.35,0.65,0.55,zh,1,mandopop,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.75,""""weekend_slow"""":0.7}""",slow_opening,0.85,温暖的木吉他与人声，怀旧中带着希望，适合夏日午后
星辰之屿,城之内ミサ,dreamy;nostalgic;restrained,piano;string;ambient_pad;minimal,,0.2,0.4,0.25,0.5,0.15,0,0.7,instrumental,0,modern_classical,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""work_focus_low_vocal"""":0.75}""",afterglow_fading,0.9,钢琴与弦乐交织的极简氛围，梦幻而克制，如同星辰下的孤岛
Hotel Summerville (Original Mix),Dinka,dreamy;nostalgic;warm,soft_synth;ambient_pad;reverb_heavy;electric_distant,,0.4,0.5,0.45,0.6,0.4,0,0.5,instrumental,0,progressive_house,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""work_focus_low_vocal"""":0.75}""",city_to_inner_room,0.85,温暖梦幻的合成器氛围，带有怀旧感的渐进式浩室，适合都市夜晚漫步
Tequila Sunset (feat. 山贼 Gulico),Zeming Xu,warm;nostalgic;bittersweet,acoustic;soft_synth;vocal_breath;reverb_heavy,,0.4,0.55,0.45,0.7,0.35,0.6,0.65,zh,1,indie_pop,"""{""""evening_city_walk"""":0.85,""""afternoon_warm_idle"""":0.8,""""weekend_slow"""":0.75}""",afterglow_fading,0.85,温暖的木吉他与人声，搭配柔和合成器与混响，营造出怀旧而略带苦涩的黄昏氛围
夕阳恋歌,刘柏辛Lexie,nostalgic;warm;bittersweet,soft_synth;vocal_breath;reverb_heavy,,0.4,0.5,0.45,0.6,0.35,0.7,0.65,zh,1,art_pop,"""{""""evening_city_walk"""":0.8,""""night_clear_lonely"""":0.75,""""weekend_slow"""":0.7}""",afterglow_fading,0.85,刘柏辛的迷幻声线与软合成器营造出怀旧而温暖的落日氛围，略带苦涩的甜蜜
Estrondo,3 Na Massa,restless;urban;bittersweet,acoustic;electric_distant;reverb_heavy,,0.6,0.5,0.55,0.45,0.6,0,0.55,instrumental,0,world_music,"""{""""evening_city_walk"""":0.8,""""work_focus_low_vocal"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.8,巴西器乐作品，原声吉他节奏感强，带有城市漂泊的躁动与怀旧
Touch of My Hand,Britney Spears,sensual;warm;hopeful,soft_synth;vocal_breath;electric_distant,,0.6,0.55,0.55,0.6,0.55,0.75,0.5,en,1,pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,Britney Spears 的性感中板流行曲，软合成器与人声呼吸感营造温暖而自信的氛围
404 (New Era),KiiiKiii,urban;restless;hopeful,soft_synth;electric_distant;vocal_breath,,0.55,0.5,0.55,0.45,0.5,0.7,0.5,en,1,k_pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,都市感合成器与人声，略带不安但充满新世代的希望与探索
Strange Things,DOUBLE,urban;nostalgic;bittersweet,soft_synth;vocal_breath;electric_distant,,0.45,0.5,0.5,0.55,0.45,0.7,0.6,en,1,r&b,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""work_focus_low_vocal"""":0.7}""",city_to_inner_room,0.85,R&B 风格的都市感，软合成器与人声交织，怀旧中带一丝苦涩
Elephant Survival,Emancipator,introspective;melancholic;dreamy,ambient_pad;string;field_recording;minimal,,0.25,0.35,0.3,0.4,0.2,0,0.7,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""morning_cloudy_slow"""":0.75}""",soft_focus_work,0.85,氛围电子作品，弦乐与田野录音交织，内省而略带忧郁的声景
After the Morning,John Hicks,warm;hopeful;clear,piano;acoustic;jazz_brush,,0.35,0.6,0.4,0.7,0.3,0,0.5,instrumental,0,jazz,"""{""""morning_clear_light"""":0.85,""""afternoon_warm_idle"""":0.8,""""work_focus_low_vocal"""":0.75}""",soft_focus_work,0.85,钢琴与爵士刷子鼓营造出清晨般的明亮与温暖，充满希望感
Noodle Soup,Four80East,urban;clear;restless,soft_synth;electric_distant;jazz_brush,,0.55,0.6,0.5,0.5,0.6,0,0.4,instrumental,0,jazz,"""{""""evening_city_walk"""":0.85,""""work_focus_low_vocal"""":0.8,""""afternoon_warm_idle"""":0.75}""",city_to_inner_room,0.85,都市感爵士放克，合成器与爵士鼓刷营造出清晰而略带不安的律动
Doo Wop (That Thing),Lauryn Hill,restless;urban;hopeful,acoustic;jazz_brush;vocal_breath;electric_distant,,0.65,0.6,0.7,0.55,0.7,0.85,0.6,en,1,neo_soul,"""{""""evening_city_walk"""":0.85,""""work_focus_low_vocal"""":0.6,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.9,Lauryn Hill 的经典 neo-soul，节奏感强烈，人声充满力量与都市感，兼具怀旧与进取
dance 2,Oklou,urban;restless;dreamy,soft_synth;cold_synth;vocal_breath;reverb_heavy,,0.6,0.5,0.55,0.4,0.65,0.7,0.5,en,1,art_pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""user_requested_explore"""":0.7}""",city_to_inner_room,0.85,都市感电子流行，冷调合成器与人声混响营造出既疏离又梦幻的舞曲氛围
Hit Refresh,JackLNDN,hopeful;urban;clear,soft_synth;ambient_pad;reverb_heavy,,0.55,0.6,0.5,0.5,0.55,0,0.4,instrumental,0,deep_house,"""{""""work_focus_low_vocal"""":0.85,""""evening_city_walk"""":0.8,""""morning_clear_light"""":0.75}""",soft_focus_work,0.85,明亮的合成器与氛围垫音，节奏清晰但不过度，营造出都市中充满希望与清晰的氛围
Remember Where You Are,Jessie Ware,warm;nostalgic;hopeful,soft_synth;string;vocal_breath,,0.5,0.6,0.5,0.7,0.5,0.7,0.6,en,1,art_pop,"""{""""evening_city_walk"""":0.85,""""weekend_slow"""":0.8,""""morning_clear_light"""":0.75}""",afterglow_fading,0.9,温暖的人声与合成器交织，怀旧而充满希望，能量中等，适合黄昏或周末放松
Sonate pour fl?te et piano:Cantilena,Francis Poulenc / Jean-Pierre Rampal,introspective;melancholic;restrained,piano;minimal;cinematic,,0.25,0.4,0.3,0.5,0.2,0,0.7,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""morning_cloudy_slow"""":0.75}""",slow_opening,0.9,长笛与钢琴的室内乐对话，旋律悠扬而克制，带有法式印象派的忧郁与内省
Buddha,Kontekst,introspective;restrained;melancholic,ambient_pad;minimal;cold_synth,,0.15,0.2,0.2,0.3,0.1,0,0.7,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""work_focus_low_vocal"""":0.8,""""night_rain_humid"""":0.75}""",afterglow_fading,0.85,冷调氛围铺底，极简而克制，营造内省与孤独的冥想空间
Ti-De,Kokoroko,warm;hopeful;urban,acoustic;jazz_brush;soft_synth;field_recording,,0.55,0.6,0.5,0.7,0.6,0,0.45,instrumental,0,jazz,"""{""""evening_city_walk"""":0.85,""""afternoon_warm_idle"""":0.8,""""morning_clear_light"""":0.75}""",city_to_inner_room,0.85,非洲爵士融合，温暖的铜管与律动感，充满都市活力与希望
Flying for Thailand,坂本龍一,introspective;melancholic;restrained,piano;cinematic;minimal,,0.15,0.3,0.2,0.35,0.1,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.75}""",slow_opening,0.9,坂本龍一的钢琴独奏，极简而克制，内省与忧郁交织，如同飞越泰国的静谧旅程
Teuf De Ouf,Scruscru / Jehan,restless;urban;unresolved,electric_distant;cold_synth;reverb_heavy,,0.6,0.4,0.55,0.3,0.65,0,0.5,instrumental,0,electronic,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""user_requested_explore"""":0.7}""",city_to_inner_room,0.85,冷调电子合成器与深远混响，营造出都市夜晚的不安与疏离感
hot house,Berlioz,warm;dreamy;clear,soft_synth;ambient_pad;lofi_dust,,0.3,0.45,0.35,0.6,0.25,0,0.4,instrumental,0,lo_fi,"""{""""work_focus_low_vocal"""":0.9,""""morning_cloudy_slow"""":0.85,""""evening_city_walk"""":0.8}""",rain_on_glass,0.9,温暖的 lo-fi 氛围，软合成器铺底+轻度失真纹理，营造出梦幻而清晰的听感
Jida,Modd,dreamy;misty;restrained,ambient_pad;soft_synth;minimal,,0.2,0.35,0.25,0.4,0.15,0,0.45,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""morning_cloudy_slow"""":0.8,""""deep_night_introspective"""":0.75}""",soft_focus_work,0.85,柔和的氛围电子，软合成器与极简铺底营造出朦胧而克制的梦幻感
Tick Tock,Tom Misch,warm;nostalgic;hopeful,acoustic;soft_synth;vocal_breath,,0.4,0.55,0.45,0.65,0.4,0.6,0.5,en,1,neo_soul,"""{""""evening_city_walk"""":0.8,""""morning_clear_light"""":0.7,""""work_focus_low_vocal"""":0.75}""",soft_focus_work,0.85,Tom Misch 温暖的人声与柔和的吉他、合成器交织，营造出怀旧而充满希望的轻松氛围
Pigalle,Bellaire,warm;urban;nostalgic,acoustic;jazz_brush;soft_synth;vocal_breath,,0.4,0.55,0.45,0.65,0.4,0,0.5,instrumental,0,jazz,"""{""""evening_city_walk"""":0.85,""""afternoon_warm_idle"""":0.8,""""work_focus_low_vocal"""":0.75}""",city_to_inner_room,0.85,温暖的爵士吉他搭配软合成器，营造出都市漫步般的怀旧与惬意
完美孤独,莫文蔚,lonely;introspective;restrained,piano;minimal;vocal_breath,,0.25,0.3,0.3,0.35,0.2,0.6,0.7,zh,1,mandopop,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""work_focus_low_vocal"""":0.7}""",late_night_descent,0.85,莫文蔚低沉克制的声线搭配极简钢琴，营造出孤独而内省的氛围
Horizon,Nujabes,dreamy;nostalgic;warm,lofi_dust;soft_synth;jazz_brush;acoustic,,0.35,0.5,0.4,0.65,0.4,0,0.5,instrumental,0,lo_fi_hip_hop,"""{""""work_focus_low_vocal"""":0.85,""""evening_city_walk"""":0.8,""""afternoon_warm_idle"""":0.75}""",soft_focus_work,0.9,Nujabes 标志性的 lo-fi 嘻哈，温暖爵士采样与轻度失真营造出怀旧而梦幻的午后氛围
Signals,Lazer Boomerang,urban;restless;nostalgic,soft_synth;cold_synth;electric_distant,,0.55,0.5,0.55,0.4,0.5,0,0.45,instrumental,0,synthwave,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""work_focus_low_vocal"""":0.75}""",city_to_inner_room,0.85,冷调合成器与城市节奏感，营造出都市夜晚的怀旧与不安氛围
Soh-Soh,Odeal,warm;sensual;dreamy,soft_synth;vocal_breath;reverb_heavy;electric_distant,,0.4,0.5,0.45,0.7,0.4,0.6,0.5,en,1,r&b,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""user_requested_explore"""":0.7}""",city_to_inner_room,0.85,温暖柔和的R&B，软合成器与呼吸感人声营造出感性梦幻的夜晚氛围
Niagara Falls,The Weeknd,dreamy;nostalgic;bittersweet,soft_synth;reverb_heavy;vocal_breath,,0.45,0.5,0.55,0.5,0.4,0.75,0.65,en,1,synthpop,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""night_clear_lonely"""":0.75}""",city_to_inner_room,0.9,梦幻合成器与深远混响，The Weeknd 的人声充满怀旧与苦涩的甜蜜，适合都市夜晚漫步
ETA (Foxela Jersey Club Remix),NewJeans,restless;urban;hopeful,soft_synth;electric_distant;reverb_heavy,,0.7,0.6,0.65,0.4,0.75,0.7,0.45,en,1,jersey_club,"""{""""evening_city_walk"""":0.85,""""user_requested_explore"""":0.8,""""night_clear_lonely"""":0.7}""",city_to_inner_room,0.85,Jersey Club 节奏驱动，合成器与混响营造都市感，能量较高但保持冷调
Don't Even Try It [feat. Funky DL],Nujabes,warm;nostalgic;hopeful,lofi_dust;acoustic;jazz_brush;soft_synth,,0.4,0.55,0.5,0.7,0.5,0.6,0.5,en,1,jazz_hop,"""{""""work_focus_low_vocal"""":0.85,""""evening_city_walk"""":0.8,""""afternoon_warm_idle"""":0.75}""",soft_focus_work,0.9,Nujabes标志性的lo-fi爵士嘻哈，温暖鼓点与Funky DL的流畅说唱营造怀旧而舒缓的都市氛围
Brazilian Rhyme (Almost There),KAORU / DJ SLY / D.O,warm;nostalgic;bittersweet,acoustic;jazz_brush;soft_synth;lofi_dust,,0.35,0.55,0.4,0.7,0.4,0,0.5,instrumental,0,jazz,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.85,""""work_focus_low_vocal"""":0.75}""",soft_focus_work,0.85,温暖的尼龙弦吉他、爵士鼓刷与软合成器交织，带有 lo-fi 质感的怀旧与微甜
Cold Silence,深白色二人组,melancholic;lonely;restrained,piano;cold_synth;reverb_heavy;minimal,,0.25,0.2,0.3,0.2,0.15,0.4,0.75,zh,1,mandopop,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""night_rain_humid"""":0.75}""",fade_into_inner_space,0.85,冷色调钢琴与混响人声，营造出克制而孤寂的深夜氛围
热气球,黄淑惠,dreamy;nostalgic;warm,acoustic;vocal_breath;string;soft_synth,,0.35,0.5,0.4,0.6,0.3,0.6,0.55,zh,1,mandopop,"""{""""morning_cloudy_slow"""":0.8,""""afternoon_warm_idle"""":0.75,""""weekend_slow"""":0.7}""",slow_opening,0.85,温暖木吉他与人声交织，轻柔梦幻的怀旧氛围，适合慵懒午后
Bunker,Balthazar,restless;urban;melancholic,electric_distant;cold_synth;reverb_heavy,,0.55,0.4,0.6,0.3,0.5,0.6,0.7,en,1,indie_rock,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""night_rain_humid"""":0.7}""",city_to_inner_room,0.85,冷调电吉他与合成器营造出都市夜晚的躁动与忧郁，人声疏离而有力
MOON MUSiC,Coldplay / Jon Hopkins,dreamy;introspective;nostalgic,ambient_pad;soft_synth;piano;reverb_heavy,,0.25,0.4,0.3,0.5,0.2,0.3,0.6,en,1,art_pop,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,Coldplay与Jon Hopkins合作的梦幻流行曲，空灵合成器与钢琴交织，人声轻柔，营造出内省而怀旧的月夜氛围
Freelance,Fred again.. / Skepta / PlaqueBoyMax,urban;restless;hopeful,soft_synth;electric_distant;vocal_breath;lofi_dust,,0.6,0.5,0.6,0.4,0.65,0.7,0.5,en,1,electronic,"""{""""evening_city_walk"""":0.85,""""work_focus_low_vocal"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,都市电子节拍搭配人声采样，能量中等偏高，带有不安与希望交织的质感
Castles in the Rain (Bonus Track),Nicola Conte,dreamy;nostalgic;bittersweet,acoustic;jazz_brush;string;vocal_breath,,0.35,0.5,0.4,0.6,0.3,0.6,0.65,en,1,jazz,"""{""""evening_city_walk"""":0.8,""""afternoon_warm_idle"""":0.75,""""weekend_slow"""":0.7}""",afterglow_fading,0.85,Nicola Conte 的爵士风格，木吉他、弦乐与轻柔人声交织，营造出梦幻而怀旧的氛围，略带忧伤
Never Getting Laid,Sabrina Carpenter,restless;urban;bittersweet,soft_synth;electric_distant;vocal_breath,,0.55,0.5,0.6,0.4,0.6,0.8,0.6,en,1,pop,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.7,""""user_requested_explore"""":0.65}""",city_to_inner_room,0.85,都市感流行曲，合成器与鼓点驱动，略带不安与苦涩的怀旧情绪
Like Leaves in the Wind,Nicola Conte / José James,warm;nostalgic;bittersweet,acoustic;jazz_brush;vocal_breath;string,,0.4,0.55,0.5,0.7,0.4,0.6,0.65,en,1,jazz,"""{""""evening_city_walk"""":0.8,""""afternoon_warm_idle"""":0.75,""""weekend_slow"""":0.7}""",slow_opening,0.85,温暖的爵士吉他、弦乐与 José James 的磁性声线，营造出怀旧而略带苦涩的秋日氛围
